,source,headline,date,body,topics,Business,Culture,Nature,Politics,Society,Sport
159,Iceland Review,Formal Negotiations for Reykjavík City Council Begin,2022/05/24,"The Progressive Party has begun formal negotiations with the Social-Democratic Alliance, the Pirate Party, and the Reform Party on forming a governing majority on the Reykjavík City Council, RÚV reports. Under the leadership of first-time councillor Einar Þorsteinsson, the Progressive Party went from zero seats on the council to four following the May 14 municipal elections. Both Einar and incumbent mayor Dagur B. Eggertsson have stated they are not insistent on becoming mayor in the upcoming term: negotiations will focus on the issues before responsibilities are divided up. Reykjavík’s four-party governing coalition of last term – consisting of the Social-Democratic Alliance, Reform Party, Pirate Party, and Left-Green Movement – lost two of its 12 seats in the election, and therefore its majority on the 23-seat Reykjavík City Council. The Social-Democratic Alliance and Reform Party both lost seats, the Left-Green Party held its single seat, while the Pirate Party increased its number of seats from two to three. As elsewhere in the country, the Progressive Party saw great success in Reykjavík, going from zero seats on the City Council to four. The Independence Party, while it received the largest proportion of the vote (nearly 25%), lost one seat, going from seven to six councillors. As is normally the case for municipal elections in Reykjavík, no party won enough seats to form a majority on its own. While many different party coalitions are technically possible, several have been ruled out by party councillors, who are not willing to work with just anyone. The Left-Green Movement’s only councillor Lif Magneudóttir has stated the party will not participate in majority negotiations at all. The Pirate Party has ruled out a coalition with the Independence Party on political grounds, while the Social-Democratic Alliance, the Reform Party, and the Pirate Party have decided to band together in the negotiation process, ruling out a coalition that would include the Independence Party. Socialist Party councillor Sanna Magdalena Mörtudóttir criticised the three-party grouping for negotiations, stating that the additional seats won by the Socialist Party and Pirate Party indicated voters were calling for a left-leaning city council, not a right-leaning one. The Socialist Party has refused to be in a majority government with the Reform Party, which it labels as a right-wing party. “We see that the Reform Party speaks in favour of privatisation, outsourcing, and these market solutions, as was clearly stated in their election campaign. We Socialists speak for socialists and social solutions and very much in like with the emphases that should be expressed by the Social Democrats.”",Politics,0,0,0,1,0,0
160,Iceland Review,Deportations to Greece Resume After Hiatus,2022/05/20,"Asylum seeker deportations from Iceland have resumed after a two-year hiatus, Fréttablaðið reports. According to attorney Magnús M. Norðdahl, the police is now focusing on asylum seekers that will deported to Greece. It’s a relatively large group, counting more than 20 people, but that number could rise. Due to COVID-related travel restrictions, few people have been deported over the past two years. Magnús told Fréttablaðið that the deportation of those who have been denied international protection in Iceland resumed at the beginning of last week. Fréttablaðið confirmed with police officials that Greece’s vaccination requirements for travellers had been lifted and that deportations would resume. “My clients have received phone calls in the past few days notifying them of the impending implementation of deportation plans,” Magnús stated. According to Magnús, some of his clients who are set to be deported have been living in Iceland for a long time and have settled down, been promised jobs, made connections in Icelandic society, and even had children. “Among the people in the group is a woman who is eight months pregnant,” Magnús said. He considers it inhumane to deport people to Greece. “Conditions for refugees are completely unacceptable and many of them live on the streets.” Most egregiously inhumane, according to Magnús are deportations in cases where people have been living in Iceland for a long time and put down roots. “The global pandemic limited the authorities’ ability to deport people, which increased the time they spent here. To gather these people and deport them now is reprehensible and not in the spirit of a community based on goodness and love.”","Politics,Society",0,0,0,1,1,0
161,Iceland Review,Improving the Icelandic Language on Devices,2022/05/18,"An Icelandic delegation has arrived in the United States to meet with tech companies about the importance of the Icelandic language being integrated into devices, RÚV reports. Iceland’s delegation is headed by President Guðni Th. Jóhannesson and Minister of Culture and Trade Lilja D. Alfreðsdóttir. Lilja told the national broadcaster there needs to be broad collaboration in order to ensure the digital future of Icelandic language. She extended praise to computer scientists and entrepreneurs for the progress Iceland has made. Representatives from Apple said few countries have come as far as Iceland in developing language technology. “Few issues are as important to me as Icelandic, it is the basis of everything we do and stand for,” said Lilja, who is working on four core projects of the Icelandic government’s language technology program. Among the innovations on the Icelandic delegation’s wish list is speech recognition that provides the ability to communicate verbally with devices. This is of particular importance for increasing the accessibility of those unable to type text. Speech synthesizers are also being developed that can read Icelandic text clearly, to sound natural and be more easily understood, as are translation programs, auto-correct tools and language databases.","Politics,Society",0,0,0,1,1,0
162,Iceland Review,First State Visit to Greenland in 24 years,2022/05/18,"Prime Minister Katrín Jakobsdóttir embarked this week on the first official visit of an Icelandic leader to Greenland since 1998. She was in Nuuk at the invitation of Greenlandic Prime Minister Múte B. Egede. The two leaders discussed opportunities for increased cooperation between Iceland and Greenland. Specific points of focus were a free trade agreement, fisheries and tourism, education and research, equality and energy and the climate crisis. Another meeting is already in the works for later this year to continue to build on the ideas presented this week. During her visit, Katrín also met with Greenland’s Minister of Finance Naaju Nathanielsen to discuss the state of the countries respective economies. She also paid a visit to the Greenlandic Parliament, the National Museum of Greenland, the University of Nuuk, and met with Greenlandic women from the from politics, business, culture and the university to discuss the challenges and opportunities they face and parallels between Iceland and Greenland.",Politics,0,0,0,1,0,0
163,Iceland Review,Municipal Election Results: Gains for Progressives Across Iceland,2022/05/16,"Last Saturday’s municipal elections will go down in Icelandic history books, both for the Progressive Party’s success across the country, and the Independence Party’s worst-ever outcome in Reykjavík. The Progressive Party doubled its following nationwide compared to the last municipal election, held in 2018, and more than tripled its number of councillors from 22 to 67. Iceland holds municipal elections every four years, in all municipalities concurrently. While the results gave the Progressive Party much to celebrate, several other parties saw losses in their number of seats on local councils, including the Centre Party, the Social-Democratic Alliance, and the Reform Party. While the Independence Party lost following across the country, it remains the party with the most local councillors nationwide: 110. Reykjavík’s four-party governing coalition – consisting of the Social-Democratic Alliance, Reform Party, Pirate Party, and Left-Green Movement – lost two of its 12 seats in the election, and therefore has lost its majority on the 23-seat Reykjavík City Council. The Social-Democratic Alliance and Reform Party both lost seats, the Left-Green Party held its single seat, while the Pirate Party increased its number of seats from two to three. As elsewhere in the country, the Progressive Party saw great success in Reykjavík, going from zero seats on the City Council to four. The Socialist Party also saw an increase in voters, doubling their seats from one to two. While it received the largest proportion of the vote, or nearly 25%, the Independence Party lost one seat, going from seven to six councillors following the election. Voter turnout decreased in all of the country’s largest municipalities except Hafnarfjörður, where it increased by 2.4%. The lowest voter turnout was in Reykjanesbær, where less than half of registered voters turned up to the polls. Voter turnout was 63% across the country, a drop from 68% in the last municipal elections. In Reykjavík, voter turnout was 61.1%, or 5.9% lower than in 2018. It bears noting, however, that amendments to election legislation that took effect in January increased the number of registered voters in the city by around 10,000. A total of 61,359 people voted in the city in this year’s election, while in 2018 that number was 60,417. In light of the weekend results, parties across the country are beginning coalition talks. In Reykjavík, Mayor Dagur B. Eggertsson has announced that his Social-Democratic Alliance has begun negotiations with the Pirate Party and the Reform Party on forming a governing coalition. Progressive Party councillor Einar Þorsteinsson said he was open to collaborating with all parties with seats on the council. Independence Party councillor Hildur Björnsdóttir stated she had had several informal talks with other councillors, while Left-Green Movement councillor Lif Magneudóttir has stated the party will not participate in majority coalition talks this term.",Politics,0,0,0,1,0,0
164,Iceland Review,Seaman’s Association: Government’s Stalled Negotiations with Coast Guard Pilots “Unacceptable and Disgraceful”,2022/05/14,"The Icelandic Seaman’s Association has issued a strongly worded statement in support of Iceland’s Coast Guard pilots, calling the government’s delay in negotiations “unacceptable and disgraceful,” Mbl.is reports. The Coast Guard pilots have been without a contract since December 31, 2019. ‘A hopeless position’ As Iceland’s Coast Guard pilots have police powers, they are legally prohibited from going on strike, which puts them in “a hopeless position” when it comes to contract bargaining, says Sonja Bjarnadóttir Backman, a lawyer with the Icelandic Airline Pilots’ Association (FÍA). Per a statement issued by FÍA in April, Coast Guard pilots’ “labour agreements have historically been linked to CLAs of comparable professions, for the longest time through a statutory link, or until 2006.” That arrangement is now under “vigorou[s] attack” by the Ministry of Finance, however, which FÍA says is pushing “a clear demand for a new, original wage agreement without links to comparable professions. This will not only affect pilot benefits but will also greatly increase staff turnover among the Coast Guard’s pilots.” With “hundreds of millions of ISK” spent on training each pilot, high turnover amongst the Coast Guard’s pilots is clearly costly to the state monetarily, but also has the associated cost of lost experience and knowledge among the highly trained professionals who oversee rescue operations at sea. “Increased staff turnover is therefore quick to more than offset the disconnection of wages from comparable professions,” continues the FÍA statement. The FÍA also takes issue with the Ministry of Finance’s desire to abolish the pilot’s seniority list, which it says is “one of the cornerstones of safety culture in aviation around the world.” “This arrangement has proved successful, as such lists ensure transparency, professionalism, and that pilots can report incidents without fear of punishment. The Ministry has presented no objective arguments to support its position, and in fact the pilots’ negotiation committee has perceived a lack of professional knowledge and understanding of the unique position of the aviation industry in the negotiations.” (Read the FÍA’s full “Resolution from the Pilots of the Icelandic Coast Guard here, in English.) See Also: Coast Guard Helicopter Unmanned Due to Pilot Shortage “It’s happened that there’s no helicopter available when needed,” continues to the statement issued by the Seaman’s Association. Indeed, due to staff illness, there was no helicopter available when a serious traffic accident occurred in South Iceland this week. Since it was not possible to man the helicopter crew, the injured person had to be transported by ambulance – making the trip one and a half hours longer than it would have been by helicopter. According to Ásgeir Erlendsson, communications officer of the Icelandic Coast Guard, for two thirds of the year, the Coast Guard has two crews on call, but for one third of the year, there is just a single crew on duty. In the past, illness or other staffing challenges have been solved by calling in staff who were off duty. That was, however, not possible on the day of the accident in question. This staffing shortage was denounced by the Minister of Justice, who wants to increase the number of helicopter pilots. But despite the Seaman’s Association’s later claims, this incident was said to be unrelated to the pilots’ ongoing wage dispute. ‘Ambulances of the sea’ The Seaman’s Association statement, which was cosigned by the Association of Ship Captains, the Association of Engineers and Metalworkers, and the Grindavík Seaman and Engineer Association, also drew particular attention to the fact that with only one helicopter on duty, it is not possible to rescue distressed sailors who are more than 20 nautical miles from land. “If ships are outside the 20 nautical mile-mark,” reads the statement, “they have to sail to meet a helicopter with their injured or ill. Minutes matter in these cases—let alone hours.” The Seaman’s Association presses the government to ensure that there are always two helicopters, or “ambulances of the sea” available, and concluded by saying that having only one helicopter on duty could have grave consequences for Icelandic and foreign fishermen alike.",Politics,0,0,0,1,0,0
165,Iceland Review,Coast Guard Helicopter Unmanned Due to Pilot Shortage,2022/05/11,"For one third of the year, the Icelandic Coast Guard has only one helicopter crew on duty, RÚV reports. Yesterday morning the helicopter could not be manned to respond to a serious accident due to staff illness. Minister of Justice Jón Gunnarsson says the situation is unacceptable and wants to increase the number of helicopter pilots. A serious traffic accident occurred under the Eyjafjöll mountain range in South Iceland just after 11:00 AM yesterday morning. One person was in the car and they were transported to the National University Hospital in Reykjavík for treatment. Since it was not possible to man the helicopter crew, the injured person had to be transported by ambulance – making the trip one and a half hours longer than it would have been by helicopter. Ásgeir Erlendsson, communications officer of the Icelandic Coast Guard, says that for two thirds of the year, the Coast Guard has two crews on call, but for one third of the year, there is just a single crew on duty. In the past, illness or other staffing challenges have been solved by calling in staff who were off duty. That was, however, not possible yesterday. The situation that occurred yesterday morning is not acceptable, Minister of Justice Jón Gunnarsson told reporters. “Such incidents should not occur and we will try to do everything we can to prevent this from happening again,” he stated. Jón pointed out that the government budget outlines an increase in funding to the Coast Guard so that the number of shifts can be increased from six to seven. The government updated the helicopter fleet last year and the number of crews was increased from five to six. “It is no secret that with more crews it would be possible to increase the response capacity even further,” Ásgeir stated. The Coast Guard’s pilots have been without a valid collective agreement for almost two and a half years. The pilots assert that complying with the Ministry of Finance’s requirements would impact aviation safety. The Ministry has denied those claims. The manning of the helicopter crew yesterday is unrelated to the wage dispute.","Politics,Society",0,0,0,1,1,0
166,Iceland Review,"“Góðan dag, this is Volodymyr from Kyiv”",2022/05/06,"Ukrainian President Volodymyr Zelenskyy spoke directly to the Icelandic Parliament and nation today in a virtual address broadcast in the chamber of Alþingi. In his speech, Zelenskyy underlined the centuries-old ties between the two countries and urged Iceland to continue supporting Ukraine in the ongoing conflict, saying that “the size of a country is of no importance when fighting for democracy.” Before Zelenskyy took the floor, President of Iceland Guðni Th. Jóhannesson addressed the Ukrainian President in English, commending the Ukrainian nation’s strength. He added that Iceland and Ukraine share values and that Ukrainian refugees are welcome in Iceland, even adding a few sentences in Ukrainian. Zelenskyy, in turn, began his speech with a few words in Icelandic, saying “Hello, this is Volodymyr from Kyiv.” He emphasised the ancient ties between Iceland and Ukraine: Scandinavians settled the area that is now Ukraine as early as the 8th century. He thanked Iceland for taking part in sanctions against Russia and encouraged the country to continue to put pressure on Russia. The Ukrainian President stated that Icelanders’ expertise in energy could come to good use in rebuilding Ukraine after the war is over. 







 A few dozen Ukrainians and supporters of Ukraine were gathered outside the Parliament building while the event took place, brandishing Ukrainian flags. Katrín Jakobsdóttir, Iceland’s Prime Minister, took the floor following Zelenskyy’s address. She condemned Russia’s threats to use nuclear weapons, saying that military action should be resisted and assuring Zelenskyy that the Icelandic government would do everything in its power to help the Ukrainian people. She stated that Iceland wanted in particular to provide special protection for women and children who were survivors of sexual violence due to the conflict. The Prime Minister ended her address by asking those present to rise for a moment of silence on behalf of the Ukrainian nation. 







",Politics,0,0,0,1,0,0
167,Iceland Review,"Inflation Response Measures Target Renters, Pensioners, and Families",2022/05/06,"Renters, pensioners, and families with children are the target groups of government measures intended to reduce the impact of inflation on the most vulnerable demographics. The government approved the measures at a cabinet meeting this morning. They include raising social security benefits, income-related child benefits, and housing benefits. Almost half of households on the rental market receive housing benefits, according to estimates from the Housing and Construction Authority. Around 70% of them have index-linked leases. Housing benefits will be increased by 10% from June 1, and the income limit for receiving housing benefits will be raised by 3%. The cost of rent has doubled in Iceland over the past decade. Families receiving income-related child benefits will receive an additional ISK 20,000 per child [$153; €145], to be paid out by the end of June. The child benefit system is being reviewed “with the aim of addressing various shortcomings in the system,” in order to better achieve the objectives of reducing child poverty and supporting parents, especially in lower income brackets. From June 1, disability benefits and benefits for old-age pensioners will be increased by 3%. Inflation measured 7.2% in Iceland last month. The Central Bank instituted a sharp 1% hike in interest rates in response. Íslandsbanki analysts have predicted that inflation will continue to rise in Iceland, peaking in June at 7.7%. The notice concludes by stating that the government will “focus on tight fiscal policy to support the Centra Bank’s monetary policy.”","Politics,Society",0,0,0,1,1,0
168,Iceland Review,Zelenskyy to Address Icelandic Parliament and Nation Today,2022/05/06,"Ukraine’s President Volodymyr Zelenskyy will address Iceland’s Parliament and the Icelandic nation virtually at 2:00 PM this afternoon. It is the first time a foreign head of state makes a speech in Alþingi, according to a notice from the Office of Parliament. The address will be broadcast into Alþingi in a special ceremony involving the Prime Minister and President of Iceland. Speaker of Parliament Birgir Ármannsson will preside over the event and will be its first speaker. After Birgir, President of Iceland Guðni Th. Jóhannesson will say a few words on behalf of the Icelandic nation. Zelenskyy will then speak after Guðni, followed by Prime Minister of Iceland Katrín Jakobsdóttir. Icelandic authorities have condemned the Russian invasion of Ukraine and expressed support for the Ukrainian nation and government in the ongoing conflict. Iceland has participated in international economic sanctions against Russia and received nearly 1,000 refugees from Ukraine. An Icelandic airline has participated in transporting equipment, including military equipment, to Ukraine. The address will be streamed live at althingi.is as well as by Icelandic national broadcaster RÚV.",Politics,0,0,0,1,0,0
169,Iceland Review,Advanced Polls Busy as Municipal Elections Approach,2022/05/05,"More residents have voted in advanced polls for the upcoming municipal election than in the last election, in 2018, Vísir reports. Amendments to election legislation that took effect this year require all parties to announce their candidacy before advanced polls open. The amendments have had varying effects on the May 14 election, including enabling more foreign residents to vote and making it more difficult to man polling stations. “So far today we’ve had 421 people vote here at the District Commissioner of Greater Reykjavík and since [advanced polls] opened, 2,800 have voted, and 4,063 across the whole country,” District Commissioner Sigríður Kristinsdóttir stated. There have already been more advanced voters in the capital area this election than in the entire country preceding the last election, in 2018. The advanced polling station for the capital area is open daily in the Holtagarðar shopping centre from 10:00 AM to 10:00 PM. On election day, the station will be open between 10:00 AM and 5:00 PM for voters whose registered address is outside the capital area. The new election legislation has made it difficult to staff electoral committees, particularly in smaller municipalities, RÚV reports. A new rule states that committee staff members may not appear as supporters on the election lists of campaigning parties. In many municipalities, this has ruled out a majority of election committee staff, who are scrambling to find replacements. The fact that the election falls on the same day as the 2022 Eurovision Song Contest final has reportedly also made staffing polling stations more difficult. Before this year, most foreign citizens living in Iceland had to wait five years before they could vote in municipal elections. The new legislation has shortened that period to three years, with Danish, Norwegian, Swedish, and Finnish citizens whose legal residence is in Iceland can vote regardless of how long they have lived in the country. The amendment has led to some large shifts in voter demographics, for example in Mýrdalshreppur, South Iceland, where 42% of eligible voters are immigrants. The proportion is around one third in Skaftárhreppur and Súðavíkurhreppur, and around one quarter in Reykjanesbær, Southwest Iceland. In an effort to reach voters who may not speak Icelandic, more political parties have created materials in English and Polish and held campaign meetings in English. The Multicultural Information Centre provides comprehensive information about municipal elections in English on its website.",Politics,0,0,0,1,0,0
170,Iceland Review,"Rental Market in “State of Emergency”, Association Says",2022/05/03,"The upcoming municipal elections revolve mainly around the “state of emergency in the housing and rental market,” a spokesperson for the Icelandic Tenants’ Association has stated. Since 2005, apartments owned by legal entities that own more than one apartment have nearly doubled, RÚV reports. The Icelandic Tenants’ Association held a public meeting at Kex Hostel yesterday. The aim of the meeting was to “demand answers” from candidates in the upcoming municipal elections on how they intended to ensure housing for tenants in Reykjavík. In an interview with RÚV, Guðmundur Hrafn Arngrímsson, a spokesperson for the Icelandic Tenants’ Association, stated that tenants had been made to suffer from the slow development of housing in the capital region through ever-increasing rent, greater uncertainty, and deteriorating social status. The Association maintains that legal entities and wealthy individuals have swept up real estate for the sake of profit and that investors have little or no incentive to speed up development as a slow pace ensures higher rent. In its coverage yesterday, RÚV presented a handful of facts to shed light on the state of the rental market. According to the Tenant’s Association, individuals above the age of 35 have “little chance” of escaping the rental market. 63% of young adults below the age of 24 live at home with their parents (39% of those who are under the age of 29).","Politics,Society",0,0,0,1,1,0
171,Iceland Review,ISK 145 Million to Support Icelandic Education for Immigrants,2022/05/02,"The Ministry of Social Affairs and Labour has announced its annual allocation of ISK 145.5 million [$1.1 million; €1.1 million] in support of Icelandic language education for immigrants. According to the ministry, the aim of the subsidy is to afford “everyone registered with a legal address in Iceland the opportunity to acquire the required proficiency in Icelandic to become active citizens in the country.” Foreign citizens account for around 15% of Iceland’s population. Eighteen schools, companies, and institutions will receive grants to conduct courses around the country. The subsidies are afforded to institutions that provide Icelandic language courses that are not part of a general curriculum in the public school system. The Icelandic government shuffled several dossiers when the current government took office last November, including Icelandic language education for immigrants, which was moved from the Ministry of Education to the Ministry of Social Affairs and Labour. Unlike many of its Nordic neighbours, Iceland does not provide free Icelandic language classes for immigrants. Education available to the country’s newest residents largely falls into two categories: free conversational classes provided by community organisations such as the Red Cross, and paid courses offered by privately-operated schools. An eight-week paid course costs approximately ISK 50,000 [$375; €340], though union members can usually get 75% of this fee reimbursed. The University of Iceland also offers a diploma and a degree program in Icelandic as a second language. Hjalti Ómarsson of Retor fræðsla, one of the schools that have received funding through the grant, says public funding covers only about 35-40% of the school’s operating costs. “When it comes to public funding, there’s not enough. The amount of grant money available has not risen since 2009. And whether your company has 10 employees or 100, the amount you can apply for is the same. Workplaces complain to us that they exhaust their grant money very quickly.” The government did allocate increased funding to Icelandic language education for immigrants as a response to the COVID-19 pandemic, but the measure was only temporary. No one at the Ministry of Social Affairs and Labour was available for comment. Read more about Icelandic language education for immigrants in our latest issue.","Politics,Society",0,0,0,1,1,0
172,Iceland Review,Reykjavík Plaza Renamed “Kyiv Square”,2022/04/27,"A small square in central Reykjavík will be renamed Kyiv Square in a show of support to Ukraine, the city’s authorities have announced. The square will also bear the name Kænugarður in Icelandic, an old Icelandic name for the Ukrainian capital. The square is located on the corner of Garðastræti and Túngata, amid a row of embassies, including Russia’s. “Reykjavík is sending a clear message of support for the Ukrainian nation here and at the same time referencing the ancient connection between Iceland and Kænugarður [Kyiv],” stated City Councillor Eyþór Arnalds. “The location at the corner of Garðastræti and Túngata is appropriate as those streets house the offices and embassies of foreign countries.” The notice from the City of Reykjavík states that Kænugarður “references the historic name of the city in Icelandic and emphasised its history that stretches back for millennia.” Scandinavians settled the area that is now Ukraine as early as the 8th century. The Kristni saga, written around the 13th century, refers to the city that is now Kyiv as Kænugarður. According to Vísindavefurinn, the first part of the word, kæna, is possibly derived from Kijane, the Old East Slavic name for residents of Kyiv, while garður shares the same root as the Old East Slavic word goród, meaning city. In modern Icelandic, Kænugarður also means “Kæna Garden,” an appropriate name for the square, which features greenery. The square will be known as Kyiv Square in English and will have similar names in other languages, in order to reference the city’s internationally-known name. The square is located amid a strip of embassies and foreign offices, including the Canadian Embassy to Iceland and the offices of the Faroese and Greenlandic delegations. The Russian embassy and Russian ambassador’s residence, where public protests have been held since the Russian invasion of Ukraine began, are located a short distance up the street. The Ukrainian embassy to Iceland is located in Helsinki, Finland.","Politics,Society",0,0,0,1,1,0
173,Iceland Review,Trust in Government Plummets Following Controversial Bank Sale,2022/04/27,"If an election were held today, the current governing coalition would lose 12 of their 38 seats, losing their current majority. The three governing parties: the Left-Green Movement, the Independence Party, and the Progressive Party, would win 26 seats in Alþingi – 32 are needed for a majority government. The data comes from a recent poll Prósent conducted for news outlet Fréttablaðið. Seven months since Iceland’s last parliamentary election and five months to the day since the cabinet was appointed, all three governing parties have lost significant following, according to the poll’s results. The Independence Party has experienced the biggest drop as compared to last autumn’s election results: from 24.4% to 17.9%. The Progressive Party now measures 12.4% support, as compared to 17.3% in the last election. Prime Minister Katrín Jakobsdóttir’s party the Left-Green Movement has dropped from 12.9% support in the election to 9.6% in the poll. Among the opposition, both the Pirate Party and the Social-Democratic Alliance have gained significant following when the poll is compared to the election results, and the Reform Party has also seen a slight increase in support, putting them on par with the Left-Green Movement. The People’s Party and Centre Party have both lost following since last autumn. The Socialist Party, which did not win any seats in the last election, would win three if elections were held today. A recent poll from Maskína shows that trust in government ministers has fallen significantly since last year. The number of respondents that stated they trust Finance Minister Bjarni Benediktsson a lot has fallen by half since last autumn, from 37% to 18%. More than seven out of ten respondents stated they have little or very little trust in Bjarni. Several controversies have emerged since the government took power last autumn, the biggest of which has been last month’s sale of a 22.5% stake in Íslandsbanki. The government’s handling of the sale has been harshly criticised by opposition MPs and has led to multiple public protests. A racist comment uttered by Progressive Party Chairman Sigurður Ingi Jóhannsson has likely impacted his party’s following.",Politics,0,0,0,1,0,0
174,Iceland Review,Debated Íslandsbanki Sale into the Wee Hours,2022/04/26,"Iceland’s Parliament debated the recent sale of a 22.5% stake in Íslandsbanki until 2:30 AM this morning. It was the first time Alþingi had convened since before the Easter break and most of the discussion centred on the controversial sale. The government has received harsh criticism for the share offering’s lack of transparency, and for the 5% discount buyers received on the shares’ market value, despite high demand for the shares. Many have also criticised the fact that smaller, short-term investments were permitted in the sale, and that staff of the consulting company that managed the sale were among the investors. The sale is being investigated by the Central Bank and reviewed by the National Audit Office. Minister of Finance Bjarni Benediktsson presented an oral report on the sale during yesterday’s session. While maintaining that the sale had in general been successful, he admitted that it had raised questions regarding three aspects in particular: the possible participation of employees of the consulting company involved in the sale, the possible participation of buyers who did not fulfill the stated requirements of being professional investors, and the dissemination of information to the public. Bjarni stated that the public could have been better informed about the sale. He added that it had taked a long time to access and release information about the sale after the offering and some questions had remained unanswered for too long. Opposition MPs criticised the government’s decision to dismantle Icelandic State Financial Investments (ISFI) in light of how the sale went. They questioned whether that decision had truly been discussed at a cabinet meeting, as as an announcement from the government stated. Chairman of the Centre Party Sigmundur Davíð Gunlaugsson asked whether government ministers had any plan as to what would replace the ISFI. Íslandsbanki was fully owned by the government until last year, when it sold a 35% stake in the bank, something that had been on the government agenda for years. While that first offering was open to the public, last month’s offering was solely open to professional investors. The second sale reduced the government’s stake in the bank from 65% to 42.5%. Two protests have been held where attendees opposed how the sale was handled, calling for Bjarni Benediktsson’s resignation.",Politics,0,0,0,1,0,0
175,Iceland Review,Many Icelandic Residents Unaware of Right to Vote,2022/04/26,"Foreign residents who have lived in Iceland consecutively for three years have the right to vote in municipal elections, but many of them are not aware of that right, says Sara Björg Sigurðardóttir, a candidate for the Social-Democratic Alliance in Iceland’s upcoming municipal elections. Citizens of Denmark, Sweden, Norway, and Finland whose legal residence is in Iceland also have the right to vote in municipal elections, regardless of how long they have lived in the country. “We’re talking about residents who have been living here for many years, paid taxes and fees, been active users of city services but didn’t know that they could vote in municipal elections,” Sara Björg told Fréttablaðið. “As a society, we need to do better when it comes to informing our residents about what rights they have in our society. One of the most precious ones is the right to vote.” Amendments to Iceland’s municipal election laws took effect on January 1 of this year, shortening the period foreign citizens must reside in Iceland before they acquire the right to vote in municipal elections. Municipal elections are held every four years in Iceland, and occur on the same date in all municipalities across the country. The upcoming municipal elections will be held on May 14, and advanced polls are already open.","Politics,Society",0,0,0,1,1,0
176,Iceland Review,Iceland Donates ISK 130 Million in Emergency Aid to Ukraine,2022/04/24,"The Icelandic government has decided to send ISK 130 million [just over $1 million; €929,000] in emergency financial assistance to Ukraine via the World Bank. RÚV reports that Foreign Minister Þórdís Kolbrún Reykfjörð Gylfadóttir announced the additional funding after attending a meeting last week in Washington, D.C. wherein international leaders met to attend the World Bank’s roundtable on Ukraine. The meeting was scheduled to coincide with the spring meetings of the World Bank and the International Monetary Fund. This is Iceland’s second major emergency aid donation to Ukraine. In February, Iceland committed €1 million to humanitarian support in Ukraine, and also made a €200,000 contribution to NATO’s Trust Fund for the Ukraine Professional Development Programme. Ukraine’s Prime Minister Denys Smyhal and Minister of Finance Sergei Marchenko were both present at the meeting and emphasized Ukraine’s urgent need for financial assistance, both in order to maintain basic services and also for reconstruction efforts. Ukrainian President Volodymyr Zelensky delivered an address remotely. In her own address, Þórdís Kolbrún expressed Iceland’s desire to contribute as much as possible to support Ukraine in its efforts to repel Russia’s invasion of their country. “The Ukrainian people are fighting for their lives and freedom,” she said, reemphasizing that Iceland continues to stand in solidarity with Ukraine.",Politics,0,0,0,1,0,0
177,Iceland Review,‘Out with Bjarni’: Íslandsbanki Protesters Continue Calls for Minister of Finance’s Resignation,2022/04/23,"Protesters gathered in Austurvöllur Square in front of parliament once more on Saturday to voice their anger at the government’s recent sale of shares in Íslandsbanki bank. Hundreds of protesters gathered last week; the exact attendance numbers of Saturday’s event were not available at time of writing. However, Vísir reports that 2,000 people marked themselves as attending on the protest on Facebook, an event entitled “Bjarna Burt, Spillinguna Burt,” or “Out with Bjarni [Benediktsson, Minister of Finance], Out with Corruption.” The protest was a festive one, and kicked off with a performance by Páll Óskar, and included speeches by former and current MPs, a reading by the “poet of the protest,” Anton Helgi Jónsson, and performances by hip hop acts XXX Rottweiler and Blaffi. Hot chocolate and doughnuts were served before and after the rally itself. See Also: Hundreds Protest Sale of Íslandsbanki Shares Íslandsbanki was fully owned by the government until last year, when it sold a 35% stake in the bank, something that had been on the government agenda for years. While that first offering was open to the public, last month’s offering was solely open to professional investors. The second sale was successful, reducing the government’s stake in the bank from 65% to 42.5%. The government has been criticised for the latter share offering’s lack of transparency, and for the 5% discount buyers received on the shares’ market value. The majority of the investors who purchased shares sold their stakes almost immediately for considerable profit. Days after the first protest at Austurvöllur, the Icelandic government announced that it would be introducing a parliamentary bill to abolish Icelandic State Financial Investments (ISFI), the government’s holding company on the financial market. But protesters are not yet satisfied. See Also: Government to Dismantle State Investment Company The protesters have three demands: that the sale be rescinded, that Minister of Finance Bjarni Benediktsson resign, and that the board and CEO of the ISFI step down. Now that the latter demand has been achieved with the dismantling of ISFI all together, protesters remain focused on their first two goals. ‘Out with the puppets of capitalism in the government’ “We’re going to learn from this,” said headlining speaker Davíð Þór Jónsson, a pastor and actor who has been an outspoken leader in the Íslandsbanki protests. “We’ll learn to never, never, never again trust these people with a single thing. We’ll learn to never, never, never again trust political parties that form a government that would allow this to happen.” His remarks were met with cheers from the crowd. “Our demands are unambiguous and reasonable,” Davíð Þór continued. “Out with the psychopaths [amoral people] in our financial system! Out with the puppets of capitalism in the government! Out with an ineffectual, cowardly Alþingi that doesn’t have the guts to affirm its lack of confidence in an unfit government that doesn’t just permit, but rather gives its blessing to the psychopaths plundering their own country!”",Politics,0,0,0,1,0,0
